player_display_name,position,team,opponent_team,passing_yards,passing_tds,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds
Aaron Rodgers,QB,PIT,NE,139,2,4,1,0,0,0,0,0
Joe Flacco,QB,CLE,GB,142,0,0,0,0,0,0,0,0
Matthew Stafford,QB,LA,PHI,196,2,0,0,0,0,0,0,0
Andy Dalton,QB,CAR,ATL,0,0,1,-1,0,0,0,0,0
Tyrod Taylor,QB,NYJ,TB,197,2,8,48,0,0,0,0,0
Russell Wilson,QB,NYG,KC,160,0,5,27,0,0,0,0,0
Kirk Cousins,QB,ATL,CAR,29,0,0,0,0,0,0,0,0
Kyle Juszczyk,FB,SF,ARI,0,0,0,0,0,1,1,1,1
Adam Thielen,WR,MIN,CIN,0,0,0,0,0,2,0,0,0
Zach Ertz,TE,WAS,LV,0,0,0,0,0,3,3,38,0
Keenan Allen,WR,LAC,DEN,0,0,0,0,0,11,7,65,1
Travis Kelce,TE,KC,NYG,0,0,0,0,0,7,4,26,0
DeAndre Hopkins,WR,BAL,DET,0,0,0,0,0,2,1,13,0
Geno Smith,QB,LV,WAS,289,3,2,5,0,0,0,0,0
Brandin Cooks,WR,NO,SEA,0,0,0,0,0,5,3,24,0
Davante Adams,WR,LA,PHI,0,0,0,0,0,8,3,56,1
Mike Evans,WR,TB,NYJ,0,0,0,0,0,9,4,33,1
Chris Manhertz,TE,NYG,KC,0,0,0,0,0,1,1,7,0
Stefon Diggs,WR,NE,PIT,0,0,0,0,0,3,3,23,0
DeAndre Carter,WR,CLE,GB,0,0,0,0,0,0,0,0,0
Tyler Lockett,WR,TEN,IND,0,0,0,0,0,4,4,37,0
Marcus Mariota,QB,WAS,LV,207,1,6,40,1,0,0,0,0
Sterling Shepard,WR,TB,NYJ,0,0,0,0,0,5,4,80,0
Austin Hooper,TE,NE,PIT,0,0,0,0,0,3,2,28,0
Chris Moore,WR,WAS,LV,0,0,0,0,0,2,2,25,0
Kalif Raymond,WR,DET,BAL,0,0,0,0,0,2,1,4,0
Derrick Henry,RB,BAL,DET,0,0,12,50,1,1,1,7,0
Carson Wentz,QB,MIN,CIN,173,2,2,4,0,0,0,0,0
Tyreek Hill,WR,MIA,BUF,0,0,0,0,0,10,5,49,1
Dak Prescott,QB,DAL,CHI,251,1,0,0,0,0,0,0,0
Hunter Henry,TE,NE,PIT,0,0,0,0,0,11,8,90,2
Jared Goff,QB,DET,BAL,202,1,4,6,0,0,0,0,0
Tyler Higbee,TE,LA,PHI,0,0,0,0,0,2,0,0,0
Johnny Mundt,TE,JAX,HOU,0,0,0,0,0,1,1,7,0
Christian McCaffrey,RB,SF,ARI,0,0,17,52,0,15,10,88,0
Kendrick Bourne,WR,SF,ARI,0,0,0,0,0,6,4,38,0
Tim Patrick,WR,JAX,HOU,0,0,0,0,0,1,1,16,0
Samaje Perine,RB,CIN,MIN,0,0,4,21,0,0,0,0,0
James Conner,RB,ARI,SF,0,0,9,22,0,4,3,15,0
Mack Hollins,WR,NE,PIT,0,0,0,0,0,4,4,27,0
Eric Saubert,TE,SEA,NO,0,0,0,0,0,1,1,12,0
David Moore,WR,CAR,ATL,0,0,0,0,0,1,1,5,0
Dare Ogunbowale,RB,HOU,JAX,0,0,0,0,0,0,0,0,0
JuJu Smith-Schuster,WR,KC,NYG,0,0,0,0,0,4,4,55,0
Jonnu Smith,TE,PIT,NE,0,0,0,0,0,3,3,23,0
Patrick Mahomes,QB,KC,NYG,224,1,5,2,0,0,0,0,0
David Njoku,TE,CLE,GB,0,0,0,0,0,7,5,40,0
Zay Jones,WR,ARI,SF,0,0,0,0,0,3,2,25,0
Alvin Kamara,RB,NO,SEA,0,0,18,42,0,2,1,14,0
Cooper Kupp,WR,SEA,NO,0,0,0,0,0,3,2,31,0
Kareem Hunt,RB,KC,NYG,0,0,10,34,1,1,1,10,0
Jeremy McNichols,RB,WAS,LV,0,0,4,78,1,0,0,0,0
Tyler Conklin,TE,LAC,DEN,0,0,0,0,0,2,0,0,0
Marquez Valdes-Scantling,WR,SF,ARI,0,0,0,0,0,1,1,9,0
Courtland Sutton,WR,DEN,LAC,0,0,0,0,0,8,6,118,1
Dallas Goedert,TE,PHI,LA,0,0,0,0,0,2,1,33,1
Dalton Schultz,TE,HOU,JAX,0,0,0,0,0,6,5,39,0
Ray-Ray McCloud,WR,ATL,CAR,0,0,0,0,0,5,2,20,0
